State,Total Vote Count,Percent Romney,Percent Obama,Percent Other,Total Romney Votes,Total Obama Votes,Percent of Vote that is Female,Total Female Voters,Percent Women for Romney,Percent Women for Obama,Percent Women for Other
Alabama,2050813,60.7,38.4,0.9,1244843.49,787512.19,55,,56,44,0
Alaska,218646,55,41.5,3.5,120255.3,90738.09,,,,,
Arizona,1630123,55,43.4,1.6,896567.65,707473.38,51,,53,46,1
Arkansas,1044942,60.4,37,2.6,631144.97,386628.54,,,,,
California,9294954,38.4,59.3,2.3,3569262.34,5511907.72,50,,34,64,2
Colorado,2370258,46.7,51,2.3,1106910.49,1208831.58,51,,48,51,1
Connecticut,1435683,40.6,58.3,1.1,582887.3,837003.19,53,,36,63,
Delaware,413844,40,58.6,1.4,165537.6,242512.58,,,,,
District of Columbia,243348,7.1,91.4,1.5,17277.71,222420.07,,,,,
Florida,8283896,49.3,49.8,0.9,4083960.73,4125380.21,55,,46,53,
Georgia,3844451,53.4,45.4,1.2,2052936.83,1745380.75,,,,,
Hawaii,429494,27.8,70.6,1.6,119399.33,303222.76,,,,,
Idaho,571222,65.3,31.9,2.8,373007.97,182219.82,,,,,
Illinois,5084269,41.1,57.3,1.6,2089634.56,2913286.14,52,,35,63,
Indiana,2591173,54.3,48.3,-2.6,1407006.94,1251536.56,50,,52,48,
Iowa,1565324,46.5,52.1,1.4,727875.66,815533.8,54,,40,59,1
Kansas,1125433,59.9,37.9,2.2,674134.37,426539.11,50,,51,47,
Kentucky,1796046,60.5,37.8,1.7,1086607.83,678905.39,,,,,
Louisiana,1962985,58.5,39.8,1.7,1148346.23,781268.03,,,,,
Maine,570789,40.3,56.3,3.4,230027.97,321354.21,53,,34,64,
Maryland,2418301,37,61.2,1.8,894771.37,,54,,34,65,
Massachussetts,3029611,37.5,60.9,1.6,1136104.13,,53,,34,65,
Michigan,4571900,45.6,53.5,0.9,2084786.4,,51,,42,57,
Minnesota,2923713,45.1,52.8,2.1,1318594.56,,51,,38,60,
Mississippi,1193416,55.4,43.7,0.9,661152.46,,55,,53,46,
Missouri,2744935,53.9,44.3,1.8,1479519.97,,55,,53,45,
Montana,196501,55.1,42,2.9,108272.05,,51,,52,46,
Nebraska,765083,60.5,37.8,1.7,462875.22,,,,,,
Nevada,1011105,45.7,52.3,2,462074.99,,53,,41,57,
New Hampshire,645457,46.7,52,1.3,301428.42,,52,,42,58,
New Jersey,3307067,41,57.9,1.1,1355897.47,,53,,38,62,
New Mexico,769968,43,52.9,4.1,331086.24,,53,,41,55,
New York,6134917,35.9,62.7,1.4,2202435.2,,55,,31,68,0
North Carolina,4492912,50.6,48.4,1,2273413.47,,56,,49,51,0
North Dakota,319825,58.7,38.9,2.4,187737.28,,,,,,
Ohio,5332989,48.2,50.1,1.7,2570500.7,2671827.49,52,,44,55,1
Oklahoma,1331203,66.8,33.2,0,889243.6,,,,,,
Oregon,1460711,43.9,53.4,2.7,641252.13,,50,,41,58,
Pennsylvania,5573745,46.8,51.9,1.3,2608512.66,,52,,46,53,1
Rhode Island,416119,35.2,63.1,1.7,146473.89,,,,,,
South Carolina,1830052,55,43.7,1.3,1006528.6,,,,,,
South Dakota,363688,57.9,39.9,2.2,210575.35,,,,,,
Tennessee,2438587,59.5,39,1.5,1450959.27,,,,,,
Texas,7951863,57.2,41.4,1.4,4548465.64,,,,,,
Utah,921733,72.7,24.9,2.4,670099.89,,,,,,
Vermont,286909,67.1,31.2,1.7,192515.94,,54,,26,73,
Virginia,3649322,47.8,50.8,1.4,1744375.92,,53,,45,54,1
Washington,1924100,42.8,55.2,2,823514.8,,51,,41,59,
West Virginia,661703,62.3,35.5,2.2,412240.97,,,,,,
Wisconsin,3040154,46.1,52.8,1.1,1401510.99,,51,,42,57,
Wyoming,245778,69.3,28,2.7,170324.15,,,,,,
